doc_name,page_number,table_id,struct_valid,numeric_ratio,mode_used,risky_table
raht_af_4_2025.pdf,4,1,1.0,0.16666666666666666,lattice,True
raht_af_4_2025.pdf,5,1,1.0,0.15,lattice,True
raht_af_4_2025.pdf,6,1,1.0,0.2,lattice,False
raht_af_4_2025.pdf,7,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,8,1,1.0,0.08333333333333333,lattice,True
raht_af_4_2025.pdf,9,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,10,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,11,1,1.0,0.0,lattice,True
raht_af_4_2025.pdf,12,1,1.0,0.0,lattice,True
tcibp_2024_rus.pdf,5,1,1.0,0.09523809523809523,lattice,True
tcibp_2024_rus.pdf,8,1,1.0,0.0,lattice,True
tcibp_2024_rus.pdf,14,1,1.0,0.0,lattice,True
tcibp_2024_rus.pdf,18,1,1.0,0.07142857142857142,lattice,True
tcibp_2024_rus.pdf,23,1,1.0,0.0,lattice,True
tcibp_2024_rus.pdf,28,1,1.0,0.0,lattice,True
tcib_af_4_2025.pdf,1,1,1.0,0.0,lattice,True
tcib_af_4_2025.pdf,2,1,1.0,0.0,lattice,True
tcib_af_4_2025.pdf,3,1,1.0,0.03125,lattice,True
tcib_af_4_2025.pdf,4,1,1.0,0.02857142857142857,lattice,True
tcom_af_4_2025.pdf,1,1,1.0,0.0,lattice,True
tcom_af_4_2025.pdf,2,1,1.0,0.0,lattice,True
tcom_af_4_2025.pdf,3,1,1.0,0.0,lattice,True
tcom_af_4_2025.pdf,4,1,1.0,0.0,lattice,True
tmjlf6_2024_cons_rus.pdf,11,1,1.0,0.0,lattice,True
tmjlf6_2024_cons_rus.pdf,16,1,1.0,0.03278688524590164,lattice,True
tmjl_2024_rus.pdf,305,1,1.0,0.0,lattice,True
tmjl_2024_rus.pdf,344,1,1.0,0.0,lattice,True
tmjl_2024_rus.pdf,348,1,1.0,0.0,lattice,True
tmjl_2024_rus.pdf,349,1,1.0,0.06666666666666667,lattice,True
tmjl_2024_rus.pdf,379,1,1.0,0.0,lattice,True
tmjl_2024_rus.pdf,384,1,1.0,0.03278688524590164,lattice,True
tmjl_af_1_2025.pdf,95,1,1.0,0.0,lattice,True
aira_af_4_2025.pdf,94,1,1.0,0.0,lattice,True
aafdf5_2024_cons_rus.pdf,8,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,1,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,2,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,3,1,1.0,0.03571428571428571,lattice,True
aafd_af_4_2025.pdf,4,1,1.0,0.04,lattice,True
aafd_af_4_2025.pdf,5,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,6,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,7,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,8,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,9,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,10,1,1.0,0.05263157894736842,lattice,True
aafd_af_4_2025.pdf,11,1,1.0,0.037037037037037035,lattice,True
aafd_af_4_2025.pdf,12,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,13,1,1.0,0.0,lattice,True
aafd_af_4_2025.pdf,14,1,1.0,0.0,lattice,True
fpstp_2024_rus.pdf,3,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,1,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,2,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,3,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,4,1,1.0,0.06666666666666667,lattice,True
fpst_af_4_2025.pdf,5,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,6,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,7,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,8,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,9,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,10,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,11,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,12,1,1.0,0.0,lattice,True
fpst_af_4_2025.pdf,13,1,1.0,0.07142857142857142,lattice,True
fpst_af_4_2025.pdf,14,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,4,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,58,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,59,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,60,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,61,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,62,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,63,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,64,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,65,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,66,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,67,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,68,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,69,1,1.0,0.04,lattice,True
bastp_2024_rus.pdf,70,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,71,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,72,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,73,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,74,1,1.0,0.14285714285714285,lattice,True
bastp_2024_rus.pdf,75,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,76,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,77,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,78,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,79,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,80,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,81,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,82,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,83,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,84,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,85,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,86,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,87,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,88,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,89,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,90,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,91,1,1.0,0.07692307692307693,lattice,True
bastp_2024_rus.pdf,92,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,93,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,94,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,95,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,96,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,97,1,1.0,0.09090909090909091,lattice,True
bastp_2024_rus.pdf,98,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,99,1,1.0,0.0,lattice,True
bastp_2024_rus.pdf,100,1,1.0,0.08333333333333333,lattice,True
bsulp_2024_rus.pdf,1,1,1.0,0.0,lattice,True
bsulp_2024_rus.pdf,44,1,1.0,0.0,lattice,True
bsulp_2024_rus.pdf,49,1,1.0,0.0,lattice,True
bsulp_2024_rus.pdf,50,1,1.0,0.0,lattice,True
bsulp_2024_rus.pdf,54,1,1.0,0.0,lattice,True
